tenure,Contract,TotalCharges,MonthlyCharges,OnlineSecurity,TechSupport,Churn
1,0,-0.9949713816319788,-1.1603229160349193,0,0,0
34,1,-0.17387565380196848,-0.25962894194488056,2,0,0
2,0,-0.9603993947048205,-0.36266035595518026,2,0,1
45,1,-0.19540035830642521,-0.7465354629935548,2,2,0
2,0,-0.9411927353008437,0.1973652331008033,0,0,1
8,0,-0.6458737894996971,1.1595456961969886,0,0,1
22,0,-0.14742786303649233,0.8089065291619364,0,0,0
10,0,-0.8748524921871078,-1.1636465100352518,2,0,0
28,0,0.33677864352376413,1.330710787214099,0,2,1
62,1,0.5318918111241626,-0.2862176939475387,2,0,0
13,0,-0.7487729153410027,-0.4922805219681378,2,0,0
16,2,-0.8638583354248315,-1.5225946620711341,1,1,0
58,1,1.5002385943846621,1.182810854199314,0,0,0
49,0,1.215538502805714,1.2941512532104444,0,0,1
25,0,0.17782697949085266,1.3539759452164248,2,2,0
69,2,2.4778134048070717,1.611554480242174,2,2,0
52,1,-0.556485555101189,-1.4660935640654862,1,1,0
71,2,2.251351436800182,1.393859073220412,2,0,0
10,0,-0.7748674801864057,-0.3177918369506949,0,2,1
21,0,-0.1856204156444002,0.8404806721650928,0,0,0
1,0,-0.9906443641110828,-0.8346107040023593,0,0,1
12,1,-0.9188511958562179,-1.4943441130683104,1,1,0
1,0,-0.9992542459128655,-1.4827115340671475,1,1,1
58,2,0.5394640917857305,-0.16158291893507945,0,2,0
49,0,0.303332564216839,-0.17155370093607608,2,2,0
30,0,-0.33234163219477936,-0.3144682429503628,2,0,0
47,0,1.0887524741194623,1.1495749141959914,0,0,1
1,0,-0.9948168452919469,-1.1486903370337564,0,0,1
72,2,1.8041674219875912,0.8471278601657575,2,2,0
17,0,-0.5255120572347759,-0.002050406919131469,0,0,1
71,2,1.979676551023931,1.0498670941860242,2,2,0
2,0,-0.9279467632981011,1.0216165451832002,0,0,0
27,1,-0.18052071642334433,0.0461417060856862,2,2,0
1,0,-0.9992321692928611,-1.481049737066981,1,1,0
1,0,-0.9881717826705709,-0.6484894399837534,0,0,0
72,2,2.193709381968247,1.1678546811978192,2,2,0
5,0,-0.8682295061857365,0.16412929309748084,0,0,1
46,0,0.55853829146968,0.3336325871144252,0,0,0
34,0,0.5589577472497668,1.3822264942192488,0,0,1
11,0,-0.5200812087136514,1.099721004191008,0,0,1
10,1,-0.7981141610512189,-0.505574897969467,0,0,0
70,2,1.1431492658107256,0.1475113230958196,2,0,0
17,1,-0.823480197436471,-1.462769970065154,1,1,0
63,2,1.1383365626497288,0.5014740841312036,2,2,0
13,0,-0.574809149704983,0.38016290311907686,2,2,0
49,0,0.716783503662445,0.6560212051466533,0,0,0
2,0,-0.96532248096584,-0.5155456799704635,0,0,0
2,0,-0.9445042283015294,0.528062836133862,0,0,1
52,2,0.8541442333308861,0.4981504901308715,2,2,0
69,2,0.8701718594542047,-0.020330173920958733,2,2,0
43,0,0.6867813770762331,0.8471278601657575,0,0,0
15,0,-0.3783493082843053,1.141265929195161,2,0,1
25,0,-0.23429936275447935,0.15748210509681626,2,2,0
8,0,-0.7285286547968111,0.528062836133862,0,0,1
60,1,0.9594717873726946,0.3352943841145912,2,2,0
18,0,-0.23434351599448855,1.0199547481830342,0,0,1
63,1,1.7784481596822659,1.1595456961969886,2,0,0
66,1,2.1162866756122165,1.4520219682262263,0,2,0
34,2,-0.6132886983729503,-1.3231790220511994,1,1,0
72,2,2.4595118868232824,1.42044782522307,0,2,0
47,0,1.0701860366956184,1.1877962451998125,0,0,0
60,0,1.3985095294035985,0.8354952811645947,0,0,0
72,2,0.29966784529608015,-0.7531826509942191,2,0,0
18,1,-0.585560463647209,-0.344380588953353,0,2,0
9,0,-0.6296474737963373,0.9850570111795458,0,0,1
458,0,-0.900373064912392,0.35025055711608644,0,2,0
47,1,0.6035966728990094,0.4698999411280476,0,0,0
31,2,0.09444358573358773,0.4798707231290442,0,2,0
50,2,-0.5971286125296043,-1.4827115340671475,1,1,0
10,0,-0.6163573485535857,0.5014740841312036,2,0,0
1,0,-0.9864939595502235,-0.5221928679711282,0,2,0
52,1,-0.5265938116149997,-1.4744025490663168,1,1,0
64,2,2.126287384474287,1.5567151792366918,2,2,0
62,2,-0.3791440666044699,-1.3464441800535252,1,1,0
